NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Dan Adrian,Odden,tRiveli,no,46250,537,303.33,1
Raymond,Dalsand,duzer,no,46251,538,303.33,1
-,-,sheifen,no,46252,539,303.33,1
Robin,Nilsen,jiNix,no,46253,540,303.33,1
Alex,Abdalian,insanez,se,47237,1516,295.10,1
-,-,scream,no,0,0,0.00,0
Espen,Johansen,EspenAli,no,32619,330,857.00,2
Asger,Larsen,AcilioN,dk,712,28,209695.48,82
Joachim,Frandsen,FRANDOW,dk,44744,866,344.73,3
Kenneth,Kristiansen,REASTEN,no,11493,97,7373.07,16
Christoffer,Olsson,Lunedi,se,46360,1504,300.15,4
Laurent,B,Tannis,fr,27158,1093,1321.43,5
-,-,RoB,be,76645,490,24.44,1
Rafael,Ramos,wh1sper,pt,80501,665,12.22,1
Alexander,Svirskiy,Gamble,ru,80502,3507,12.22,1
Irmantas,Liepis,B1ts,lt,61294,166,103.82,5
Eugene,Grinko,Des,ua,80503,887,12.22,1
-,-,Nick,se,80504,2481,12.22,1
-,-,dk,de,51278,2405,222.18,2
Ján,-,JoCKo,sk,59434,148,122.18,1
Laurian,Avrigeanu,Chevalier,ro,38675,160,533.65,2
-,-,D347H,ro,54131,227,186.87,2
Gabriel,Ciobotaru,GaBaNo,ro,29804,104,1041.25,9
Alin,Alinei,God Scorpion,ro,50357,208,238.78,3
-,-,NoLimmiT,ro,54132,228,186.87,2
-,-,Raviel,gr,58639,202,129.62,1
Jakub,Strzelecki,DOBRYGRACZ PL,pl,44061,811,365.77,4
Michał,Bobowski,Mccg,pl,47522,884,287.30,3
-,-,Lovetospoge69,pl,58634,1176,129.78,1
Yongzheng,He,Inflame,cn,192,39,601854.15,26
Lin,Shiyang,June,cn,1904,240,79531.61,28
Fan,Tianyou,Ayo,cn,2111,257,70543.04,15
Xiao,Zuoyi,Demons,cn,3290,387,42408.06,21
Jiabin,Zhao,PrettyHaw,cn,3500,413,39761.63,16
